consumidor,tipo_inmueble,moneda_region,uso_horario_pico,cantidad_equipos,horas_alto_consumo,consumo_kwh,perfil_energetico
Usuario_1,Oficina,MXN,False,27,7,414.21,Eficiente
Usuario_2,Oficina,CLP,True,36,5,437.01,Eficiente
Usuario_3,Casa,PEN,False,11,13,320.19,Eficiente
Usuario_4,Apartamento,ARS,False,18,5,157.7,Eficiente
Usuario_5,Apartamento,PEN,True,1,10,192.1,Moderado
Usuario_6,Comercio,CLP,True,35,11,566.66,Eficiente
Usuario_7,Comercio,COP,True,35,6,738.73,Eficiente
Usuario_8,Oficina,BRL,False,31,5,754.22,Eficiente
Usuario_9,Casa,MXN,False,28,13,246.57,Eficiente
Usuario_10,Oficina,CLP,False,39,12,660.13,Eficiente
Usuario_11,Comercio,COP,True,1,11,901.1,Ineficiente
Usuario_12,Casa,PEN,False,25,9,243.51,Eficiente
Usuario_13,Casa,PEN,False,38,3,532.9,Eficiente
Usuario_14,Comercio,CLP,False,20,3,817.93,Moderado
Usuario_15,Apartamento,ARS,False,3,7,212.02,Eficiente
Usuario_16,Apartamento,PEN,True,2,7,298.44,Ineficiente
Usuario_17,Casa,ARS,True,18,6,300.08,Eficiente
Usuario_18,Oficina,ARS,False,10,3,646.75,Eficiente
Usuario_19,Apartamento,BRL,False,5,13,140.74,Eficiente
Usuario_20,Oficina,ARS,True,9,7,719.7,Moderado
Usuario_21,Apartamento,USD,True,2,5,230.6,Moderado
Usuario_22,Apartamento,BRL,True,34,7,272.07,Eficiente
Usuario_23,Oficina,COP,True,38,2,410.62,Eficiente
Usuario_24,Comercio,COP,True,31,6,893.95,Eficiente
Usuario_25,Apartamento,PEN,False,10,8,301.89,Moderado
Usuario_26,Apartamento,PEN,False,12,1,236.11,Eficiente
Usuario_27,Oficina,ARS,True,36,4,608.86,Eficiente
Usuario_28,Comercio,BRL,True,21,11,739.43,Eficiente
Usuario_29,Apartamento,BRL,True,6,1,328.7,Moderado
Usuario_30,Apartamento,USD,True,3,1,241.53,Moderado
Usuario_31,Comercio,ARS,False,10,10,1009.27,Moderado
Usuario_32,Apartamento,USD,False,5,12,308.3,Moderado
Usuario_33,Comercio,ARS,True,26,11,707.35,Eficiente
Usuario_34,Comercio,MXN,False,21,8,581.06,Eficiente
Usuario_35,Oficina,MXN,False,26,7,503.04,Eficiente
Usuario_36,Casa,CLP,False,38,12,499.18,Eficiente
Usuario_37,Comercio,ARS,True,26,10,579.34,Eficiente
Usuario_38,Oficina,BRL,False,8,13,562.22,Eficiente
Usuario_39,Casa,PEN,True,5,1,492.13,Ineficiente
Usuario_40,Apartamento,COP,True,15,11,209.77,Eficiente
Usuario_41,Casa,CLP,True,16,13,434.77,Moderado
Usuario_42,Comercio,PEN,True,1,2,591.94,Eficiente
Usuario_43,Comercio,MXN,True,16,4,496.5,Eficiente
Usuario_44,Comercio,ARS,True,37,1,976.07,Eficiente
Usuario_45,Comercio,CLP,True,3,3,489.28,Eficiente
Usuario_46,Comercio,ARS,False,31,8,609.97,Eficiente
Usuario_47,Oficina,MXN,False,13,8,727.55,Eficiente
Usuario_48,Comercio,CLP,True,16,8,662.53,Eficiente
Usuario_49,Oficina,MXN,False,21,6,786.52,Eficiente
Usuario_50,Apartamento,USD,False,2,6,347.54,Ineficiente
Usuario_51,Comercio,MXN,False,27,5,607.79,Eficiente
Usuario_52,Comercio,BRL,True,38,13,448.68,Eficiente
Usuario_53,Casa,BRL,False,26,9,456.77,Eficiente
Usuario_54,Apartamento,ARS,False,38,4,231.22,Eficiente
Usuario_55,Comercio,COP,False,25,10,490.53,Eficiente
Usuario_56,Comercio,MXN,True,11,12,915.27,Moderado
Usuario_57,Apartamento,PEN,True,8,12,138.86,Eficiente
Usuario_58,Oficina,BRL,False,8,12,735.1,Moderado
Usuario_59,Comercio,COP,True,33,7,517.06,Eficiente
Usuario_60,Casa,USD,True,7,1,254.56,Eficiente
Usuario_61,Comercio,CLP,True,38,9,542.97,Eficiente
Usuario_62,Casa,CLP,False,21,7,546.09,Moderado
Usuario_63,Casa,BRL,False,8,10,452.61,Eficiente
Usuario_64,Comercio,COP,True,21,12,980.96,Ineficiente
Usuario_65,Comercio,BRL,False,20,9,698.34,Eficiente
Usuario_66,Casa,CLP,True,8,7,327.71,Eficiente
Usuario_67,Apartamento,MXN,False,31,2,183.59,Eficiente
Usuario_68,Apartamento,COP,False,29,6,237.74,Eficiente
Usuario_69,Comercio,ARS,False,9,10,806.28,Eficiente
Usuario_70,Oficina,MXN,False,15,12,615.89,Eficiente
Usuario_71,Apartamento,MXN,True,30,11,188.57,Eficiente
Usuario_72,Comercio,MXN,False,26,4,1084.06,Eficiente
Usuario_73,Apartamento,ARS,True,10,3,169.35,Eficiente
Usuario_74,Oficina,USD,False,29,2,782.83,Moderado
Usuario_75,Comercio,PEN,False,16,6,430.4,Eficiente
Usuario_76,Oficina,BRL,False,36,8,540.56,Eficiente
Usuario_77,Comercio,CLP,True,20,6,653.36,Eficiente
Usuario_78,Oficina,BRL,False,37,9,524.56,Eficiente
Usuario_79,Apartamento,COP,True,22,5,257.55,Eficiente
Usuario_80,Apartamento,USD,True,7,2,227.83,Eficiente
Usuario_81,Oficina,COP,False,23,8,507.42,Eficiente
Usuario_82,Oficina,BRL,True,29,9,666.36,Eficiente
Usuario_83,Oficina,CLP,False,16,10,642.94,Moderado
Usuario_84,Comercio,ARS,True,38,4,1003.29,Eficiente
Usuario_85,Apartamento,BRL,True,28,6,186.99,Eficiente
Usuario_86,Comercio,MXN,False,38,11,846.67,Eficiente
Usuario_87,Apartamento,BRL,True,31,10,260.74,Eficiente
Usuario_88,Casa,MXN,True,14,8,339.41,Eficiente
Usuario_89,Comercio,ARS,False,33,9,760.24,Eficiente
Usuario_90,Apartamento,BRL,True,9,12,201.03,Eficiente
Usuario_91,Apartamento,USD,False,27,5,163.21,Eficiente
Usuario_92,Comercio,USD,True,24,12,569.66,Eficiente
Usuario_93,Comercio,COP,False,13,6,493.86,Eficiente
Usuario_94,Apartamento,ARS,False,26,11,282.28,Eficiente
Usuario_95,Comercio,USD,False,29,4,882.51,Eficiente
Usuario_96,Oficina,BRL,True,28,5,775.3,Eficiente
Usuario_97,Comercio,ARS,False,28,7,930.77,Eficiente
Usuario_98,Comercio,CLP,False,8,9,456.43,Eficiente
Usuario_99,Comercio,MXN,False,23,10,1038.97,Moderado
Usuario_100,Apartamento,BRL,True,29,11,321.79,Eficiente
Usuario_101,Oficina,MXN,False,5,13,521.66,Eficiente
Usuario_102,Casa,MXN,False,7,6,415.05,Eficiente
Usuario_103,Casa,ARS,True,36,6,551.63,Eficiente
Usuario_104,Oficina,ARS,True,27,8,566.15,Eficiente
Usuario_105,Oficina,COP,False,2,11,752.66,Ineficiente
